BPUIC1;BPUIC2;DISTANCE_GEODESIC;DISTANCE_EXACT
8509413;8509414;3.7042;3.7448
8501379;8504070;0.9054;
8504467;8504466;2.7068;
8506101;8506100;4.0911;4.145
8509411;8509406;9.6563;
8503467;8503466;2.5255;
8501494;8501727;0.5216;
8503527;8503526;3.3283;3.3655
8530355;8501461;0.6759;
8504314;8504381;0.6043;
8501664;8501665;1.3853;
8501095;8501096;3.3179;
8506311;8506306;0.9232;0.9468
8501488;8501490;2.1498;
8505004;8503280;2.7453;
8500027;8500026;2.7096;2.9484
8501386;8501387;2.5076;
8500304;8500305;3.3526;3.564
8500179;8500178;2.4191;
8506016;8506017;2.2863;2.2808
8505226;8507381;1.2081;
8500196;8500199;3.1673;
8505006;8505005;3.0194;3.0853
8502123;8502103;2.2295;
8502000;8502001;4.4488;4.4574
8501087;8501097;0.9024;
8500113;8500114;2.6438;2.8319
8506000;8506044;1.6017;
8504401;8516444;1.1599;1.1562
8501105;8501104;5.8147;7.665
8501669;8501670;1.5368;
8503086;8503087;0.7563;
8509050;8509180;2.6805;
8506041;8506042;4.5147;4.7389
8501125;8501126;3.463;3.5746
8501099;8501089;1.0147;
8509051;8509053;5.0766;
8500121;8500120;2.1993;2.2391
8505589;8505580;1.6814;
8506025;8503429;3.6699;3.7586
8503528;8503525;1.1039;1.1249
8509359;8509358;2.1895;
8504133;8504134;3.8916;4.2111
8506047;8506048;4.4955;6.8225
8503315;8503316;1.2678;1.3297
8501397;8501398;3.9395;
8501378;8501379;3.1424;
8530789;8505393;2.2718;
8501394;8501198;0.9639;
8506297;8506200;4.7608;
8502113;8502191;0.9074;
8506135;8506136;3.2271;3.3205
8506011;8506012;3.4296;3.5032
8504483;8504468;0.844;
8503526;8503008;3.2575;3.3495
8509059;8509060;3.5015;
8500186;8500126;3.6533;
8504234;8504236;6.1781;
8507278;8507277;2.7597;
8507074;8507073;2.8556;
8507481;8507480;1.4379;
8503302;8503303;3.357;3.5579
8508168;8508163;0.5245;
8504105;8504117;1.6307;1.6703
8505007;8505006;3.461;3.5174
8501396;8501397;1.9016;
8500288;8500287;1.362;
8508396;8508394;4.4759;
8507471;8507470;2.2827;
8501494;8501495;0.7469;
8500304;8500320;3.2271;3.3517
8500034;8500033;1.8337;1.926
8501563;8501562;1.2617;
8501662;8501661;2.34;
8516353;8502024;1.6362;1.6472
8503126;8503125;3.2267;3.2267
8503237;8503238;1.5549;1.5905
8503501;8503502;6.1823;6.2871
8506106;8506217;2.7913;2.8269
