BPUIC1;BPUIC2;NUM_CONNECTIONS;AVG_DURATION
8506372;8506381;40;25.3
8506372;8506380;40;28.3
8506372;8506286;40;31.98
8506373;8506374;54;1.0
8506373;8506470;54;2.0
8506373;8506375;56;5.93
8506373;8506376;40;9.0
8506373;8506377;42;11.86
8506373;8506276;40;14.15
8506373;8506382;40;16.15
8506373;8506378;42;18.0
8506373;8506381;42;22.1
8506373;8506380;42;25.1
8506373;8506286;42;28.79
8506374;8506470;54;1.0
8506374;8506375;54;5.0
8506374;8506376;40;8.0
8506374;8506377;40;11.0
8506374;8506276;40;13.15
8506374;8506382;40;15.15
8506374;8506378;40;17.15
8506374;8506381;40;21.3
8506374;8506380;40;24.3
8506374;8506286;40;27.98
8506470;8506375;54;4.0
8506470;8506376;40;7.0
8506470;8506377;40;10.0
8506470;8506276;40;12.15
8506470;8506382;40;14.15
8506470;8506378;40;16.15
8506470;8506381;40;20.3
8506470;8506380;40;23.3
8506470;8506286;40;26.98
8506375;8506376;40;3.0
8506375;8506377;42;5.95
8506375;8506276;40;8.15
8506375;8506382;40;10.15
8506375;8506378;42;12.1
8506375;8506381;42;16.19
8506375;8506380;42;19.19
8506375;8506286;42;22.88
8506376;8506377;40;3.0
8506376;8506276;40;5.15
8506376;8506382;40;7.15
8506376;8506378;40;9.15
8506376;8506381;40;13.3
8506376;8506380;40;16.3
8506376;8506286;40;19.98
8506377;8506276;40;2.0
8506377;8506382;40;4.0
8506377;8506378;42;5.95
8506377;8506381;42;10.05
8506377;8506380;42;13.05
8506377;8506286;42;16.74
8506276;8506382;40;2.0
8506276;8506378;40;4.0
8506276;8506381;40;8.15
8506276;8506380;40;11.15
8506276;8506286;40;14.82
8506382;8506378;40;2.0
8506382;8506381;40;6.15
8506382;8506380;40;9.15
8506382;8506286;40;12.82
8506378;8506381;42;3.0
8506378;8506380;42;6.0
8506378;8506286;42;9.69
8506381;8506380;42;3.0
8506381;8506286;42;6.69
8506380;8506286;42;3.69
8506286;8506380;41;2.0
8506286;8506381;41;5.0
8506286;8506378;41;9.0
8506286;8506382;39;13.23
8506286;8506276;39;15.23
8506286;8506377;41;18.98
8506286;8506376;39;21.26
8506286;8506375;41;25.0
8506286;8506470;39;28.33
8506286;8506374;39;29.33
8506286;8506373;41;30.07
8506286;8506372;39;32.33
8506286;8506371;39;35.33
8506286;8519306;39;37.33
8506286;8506302;41;42.0
8506286;8506270;39;46.13
8506286;8506358;39;48.13
8506286;8506359;39;50.13
8506286;8518100;39;51.13
8506286;8506361;39;53.13
8506286;8506362;39;56.13
8506286;8506364;39;59.13
8506286;8506365;39;61.13
8506286;8506366;39;63.13
8506286;8506367;39;65.13
8506286;8506368;39;67.13
8506286;8506369;39;69.13
8506380;8506381;41;3.0
8506380;8506378;41;7.0
8506380;8506382;39;11.23
8506380;8506276;39;13.23
8506380;8506377;41;16.98
8506380;8506376;39;19.26
8506380;8506375;41;23.0
8506380;8506470;39;26.33
8506380;8506374;39;27.33
8506380;8506373;41;28.07
8506380;8506372;39;30.33
8506380;8506371;39;33.33
8506380;8519306;39;35.33
8506380;8506302;41;40.0
8506380;8506270;39;44.13
8506380;8506358;39;46.13
8506380;8506359;39;48.13
8506380;8518100;39;49.13
8506380;8506361;39;51.13
8506380;8506362;39;54.13
8506380;8506364;39;57.13
8506380;8506365;39;59.13
8506380;8506366;39;61.13
8506380;8506367;39;63.13
8506380;8506368;39;65.13
8506380;8506369;39;67.13
8506381;8506378;41;4.0
8506381;8506382;39;8.23
8506381;8506276;39;10.23
8506381;8506377;41;13.98
8506381;8506376;39;16.26
8506381;8506375;41;20.0
8506381;8506470;39;23.33
